,SUM_TAXEXCLUSIVEAMOUNT,SUM_TAXINCLUSIVEAMOUNT,INVOICE_COUNT,CURRENCY_CAD,CURRENCY_CHF,CURRENCY_CNY,CURRENCY_EUR,CURRENCY_GBP,CURRENCY_HUF,CURRENCY_PLN,CURRENCY_RON,CURRENCY_SEK,CURRENCY_USD,MIN_INV_PERIOD,MAX_INV_PERIOD
590821360,6295847.0,7995726.0,13,0,0,0,0,0,1,0,0,0,0,8,92
590821366,55357834.0,62379950.0,13,0,0,0,0,0,1,0,0,0,0,0,30
590821373,53794540.0,56715414.0,19,0,0,0,0,0,1,0,0,0,0,0,11
590821382,5685800.0,7220966.0,36,0,0,0,0,0,1,0,0,0,0,7,15
590821386,124066.0,124066.0,9,0,0,0,0,0,1,0,0,0,0,8,15
590821394,3085884.0,3919072.0,9,0,0,0,0,0,1,0,0,0,0,45,45
590821402,762045.0,967794.0,13,0,0,0,0,0,1,0,0,0,0,0,8
590821405,4931640.0,4931640.0,15,0,0,0,0,0,1,0,0,0,0,0,30
590821406,17111865.0,21732068.0,56,0,0,0,0,0,1,0,0,0,0,-1,15
590821407,3290000.0,3290000.0,9,0,0,0,0,0,1,0,0,0,0,0,14
591638346,15764288.0,17054505.0,15,0,0,0,0,0,1,0,0,0,0,0,30
591638361,116036107.0,128922713.0,35,0,0,0,0,0,1,0,0,0,0,0,30
591638372,926051.3,1125543.05,17,0,0,0,1,0,1,0,0,0,0,0,15
592220587,4255000.0,5403850.0,6,0,0,0,0,0,1,0,0,0,0,7,30
592220600,4551831.0,4551829.0,12,0,0,0,0,0,1,0,0,0,0,0,28
592220621,4452001.0,4452000.0,25,0,0,0,0,0,1,0,0,0,0,0,1
592603554,13319987.72,16915428.02,361,0,0,0,1,0,1,0,0,0,0,-50,30
592603561,14518060.0,14518060.0,589,0,0,0,0,0,1,0,0,0,0,0,11
592603571,83801391.0,106427767.0,92,0,0,0,0,0,1,0,0,0,0,-12,93
